description, Average income in the province,Population,Poverty incidence,Access to early warning,National GDP per capita, Average income of the province,Relative income of poor families,Access to finance for poor people,Access to finance for non-poor people,Social protection for poor people,Social protection for non-poor people,"Exposure, poor people","Exposure, non-poor people",Asset vulnerability (poor people),Asset vulnerability (non-poor people), Hazard (protection),Productivity of capital,Time to reconstruct,Avoided losses with early warning,Risk transferred nationally,Effective scale up for non-poor people,Effective scale up for poor people,Elasticity of utility,Discount rate
variable,gdp_pc_pp,pop,pov_head,shew,gdp_pc_pp_nat,rel_gdp_pp,share1,axfin_p,axfin_r,social_p,social_r,fap,far,v_p,v_r,protection,avg_prod_k,T_rebuild_K,pi,nat_buyout,sigma_r,sigma_p,income_elast,rho
Camarines Norte,149.238,558647.4981201832,0.2869515,0.8,184.13668452934704,0.810474025756747,0.3350353127219609,0.6256016020253721,0.6256016020253721,0.4037939444704491,0.4037939444704491,,,0.41435842528726885,0.11126812786762716,2.0,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Camarines Sur,152.074,1881962.8912599487,0.41162999999999994,0.8,184.13668452934704,0.8258756281438477,0.32878730091928926,0.6135891390932295,0.6135891390932295,0.4037939444704491,0.4037939444704491,0.103155,0.08028673683226542,0.33866176747962856,0.1,15.36,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Camiguin,156.261,85865.38495227195,0.5357688,0.8545887961859358,184.13668452934704,0.8486141715834776,0.31997747358585954,0.7044196977755406,0.7044196977755406,0.3307547767123148,0.3307547767123148,,,0.2113001495066223,0.1,2.0,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Capiz,177.386,733558.3675972682,0.2776401,0.8230027548209367,184.13668452934704,0.9633387309725828,0.2818711735988184,0.5934555558450526,0.5934555558450526,0.4329026726155009,0.4329026726155009,0.139265,0.11411825528175083,0.37536961186832035,0.13063852224195016,15.94,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Catanduanes,241.147,253003.13288746745,0.3379586,0.8,184.13668452934704,1.3096086780120495,0.2073424094017342,0.6232699684471092,0.6232699684471092,0.4037939444704491,0.4037939444704491,,,0.3906875083150406,0.10000000000000002,2.0,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Cavite,282.606,3350889.3025637986,0.0341172,1.1172069825436408,184.13668452934704,1.534762074826862,0.17692476451313843,0.6566261506967921,0.6566261506967921,0.3627800347359787,0.3627800347359787,,,0.4598954239588061,0.11297762957611951,2.0,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Cebu,207.478,4351713.388582797,0.2268828,0.8471615720524016,184.13668452934704,1.1267608110264031,0.24098940610570757,0.5100609473208707,0.5100609473208707,0.399510616283393,0.399510616283393,,,0.36689655057360243,0.12340119534291165,2.0,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Compostela Valley,137.747,710843.2723070408,0.3670142,0.8619909502262444,184.13668452934704,0.7480692961974472,0.3629843118180432,0.44982857334891885,0.44982857334891885,0.32704991468537137,0.32704991468537137,,,0.2880491206828678,0.09999999999999999,2.0,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Davao Del Norte,156.283,992308.7370246734,0.3343261,0.8619909502262444,184.13668452934704,0.8487336480476935,0.3199324302707269,0.5392346547151031,0.5392346547151031,0.32704991468537137,0.32704991468537137,0.021159999999999998,0.017013825724577755,0.3064352666098344,0.09999999999999999,7.9,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Davao Del Sur,190.398,2410527.9616501243,0.2442229,0.8619909502262444,184.13668452934704,1.0340036288078982,0.26260780050210614,0.568224630141931,0.568224630141931,0.32704991468537137,0.32704991468537137,,,0.3411603737195792,0.11338994229018946,2.0,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Davao Oriental,97.289,533220.8013731489,0.45789270000000004,0.8619909502262444,184.13668452934704,0.528352078504457,0.5139327159288306,0.5051400127256832,0.5051400127256832,0.32704991468537137,0.32704991468537137,,,0.25072679164381995,0.09999999999999998,2.0,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Dinagat Islands,,131195.35659869225,0.0,0.8212765957446808,184.13668452934704,,,0.9312939818325519,0.9312939818325519,0.3880031165672152,0.3880031165672152,,,,0.19142878382396672,,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Eastern Samar,130.115,440354.93493202777,0.6370257,0.7040462427745665,184.13668452934704,0.7066218246112863,0.38427544864158625,0.5052488202007999,0.5052488202007999,0.4152515570260802,0.4152515570260802,,,0.2492263864475776,0.1,2.0,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Guimaras,162.895,167618.61939645992,0.2519621,0.8230027548209367,184.13668452934704,0.8846417562929368,0.3069461923324841,0.4378504624318344,0.4378504624318344,0.4329026726155009,0.4329026726155009,,,0.3881462988921017,0.1347358601253264,2.0,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Ifugao,149.062,197584.19028578556,0.4244743,0.953416149068323,184.13668452934704,0.80951821404302,0.3354308945271095,0.4991902437622432,0.4991902437622432,0.40868266233885986,0.40868266233885986,0.06566499999999999,0.05078295389849663,0.14617476252390307,0.10000000000000002,10.64,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Ilocos Norte,192.382,579429.0441105226,0.0988187,0.8865671641791046,184.13668452934704,1.0447782335808204,0.2598995748042956,0.6147879281547121,0.6147879281547121,0.4469504407361655,0.4469504407361655,0.068885,0.05891475316953426,0.3764942768929363,0.11069009836215027,48.14,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Ilocos Sur,175.91,672277.1929431186,0.1728976,0.8865671641791046,184.13668452934704,0.9553229463733725,0.2842362571769655,0.6439205407029366,0.6439205407029366,0.4469504407361655,0.4469504407361655,0.047495,0.04000499634386262,0.31374803200929585,0.1,27.75,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Iloilo,187.023,2296674.285181624,0.2620953,0.8230027548209367,184.13668452934704,1.0156748530475086,0.26734679691802615,0.5451829093312399,0.5451829093312399,0.4329026726155009,0.4329026726155009,,,0.38280524899180435,0.13315300724177914,2.0,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Isabela,169.871,1533715.5921520055,0.2437012,0.8958652373660031,184.13668452934704,0.9225266569461154,0.294340999935245,0.6006930806426939,0.6006930806426939,0.33960568512670886,0.33960568512670886,0.098785,0.08174808284503428,0.2574015096481318,0.1,10.29,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Kalinga,170.385,207635.1653785231,0.267678,0.953416149068323,184.13668452934704,0.925318061610068,0.2934530621827039,0.6078227774296567,0.6078227774296567,0.40868266233885986,0.40868266233885986,0.07566999999999999,0.06219232214790762,0.1732223044105231,0.10000000000000002,7.5,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
La Union,206.399,759942.5150793429,0.1849658,0.8865671641791046,184.13668452934704,1.120901033531452,0.24224923570366136,0.5810582643192748,0.5810582643192748,0.4469504407361655,0.4469504407361655,0.021044999999999998,0.01767704317070376,0.2998019187283835,0.1,23.79,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Laguna,249.092,2838393.486414026,0.0639343,1.1172069825436408,184.13668452934704,1.3527559738391002,0.20072904790197998,0.5920914475541312,0.5920914475541312,0.3627800347359787,0.3627800347359787,0.0035649999999999996,0.003068239996936112,0.4006777096029688,0.10597166893473761,8.78,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Lanao Del Norte,164.672,969716.9797679053,0.49061009999999994,0.8545887961859358,184.13668452934704,0.8942921961525552,0.3036338904003109,0.5566903279948707,0.5566903279948707,0.3307547767123148,0.3307547767123148,0.01219,0.009068618912546166,0.2215448836886636,0.1,8.09,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Lanao Del Sur,131.981,962426.5563331562,0.7376792000000001,0.6619964973730298,184.13668452934704,0.7167556010761416,0.3788424091346482,0.39129314485285993,0.39129314485285993,0.23898428694556786,0.23898428694556786,0.05818999999999999,0.029255961982427633,0.24478304402242762,0.1,10.34,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Leyte,178.397,1831350.582113754,0.3924264,0.7040462427745665,184.13668452934704,0.9688292175781394,0.280273771419923,0.5337336852577919,0.5337336852577919,0.4152515570260802,0.4152515570260802,,,0.34223916455477665,0.1,2.0,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Maguindanao,140.218,1274192.9487953184,0.5891859956489552,0.6619964973730298,184.13668452934704,0.7614886754282391,0.35658759930964645,0.39129314485285993,0.39129314485285993,0.23898428694556786,0.23898428694556786,0.087055,0.05941475434202328,0.2812728762678604,0.1,7.23,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Marinduque,151.717,229974.56477205377,0.3291193,0.7915254237288135,184.13668452934704,0.8239368509745265,0.32956095889056597,0.7316128248793963,0.7316128248793963,0.4072810901296954,0.4072810901296954,,,0.4100100138839292,0.13031298109136516,2.0,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Masbate,126.563,862659.4133760484,0.5132306,0.8,184.13668452934704,0.6873318063887962,0.39506016766353513,0.5528394897947203,0.5528394897947203,0.4037939444704491,0.4037939444704491,,,0.2914156002148732,0.1,2.0,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Misamis Occidental,116.277,585373.4920339694,0.4278528,0.8545887961859358,184.13668452934704,0.6314711286195022,0.43000765413624364,0.647841827821625,0.647841827821625,0.3307547767123148,0.3307547767123148,0.0024149999999999996,0.0018644423812613257,0.23937304498412448,0.1,,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Misamis Oriental,205.538,1482282.6714916239,0.2343803,0.8545887961859358,184.13668452934704,1.1162251591819126,0.24326401930543257,0.5434586722424091,0.5434586722424091,0.3307547767123148,0.3307547767123148,,,0.35098132303305885,0.10105283308945467,2.0,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Mountain Province,122.076,157051.14145100207,0.3763485,0.953416149068323,184.13668452934704,0.6629640384371316,0.4095809168059242,0.6376264319960889,0.6376264319960889,0.40868266233885986,0.40868266233885986,,,0.152079389183164,0.10000000000000003,2.0,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Negros Occidental,145.959,2981577.204690593,0.323328,0.8230027548209367,184.13668452934704,0.7926666018402084,0.3425619523290787,0.5849217707757263,0.5849217707757263,0.4329026726155009,0.4329026726155009,0.04277999999999999,0.0345337595762792,0.357654244532121,0.12257941050145846,14.13,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Negros Oriental,146.286,1320494.3193451285,0.5006161,0.8471615720524016,184.13668452934704,0.7944424565583262,0.34179620742928235,0.5594998474413817,0.5594998474413817,0.399510616283393,0.399510616283393,0.0023,0.0016992597678859894,0.2570986297177526,0.1,,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
North Cotabato,136.889,1288466.3511461518,0.5235602,0.8813982521847692,184.13668452934704,0.7434097140930283,0.36525944378291897,0.4735175537058068,0.4735175537058068,0.3484690067214339,0.3484690067214339,0.116725,0.0847692314013229,0.2883537304200827,0.1,8.5,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Northern Samar,137.606,608478.0558993884,0.5019001,0.7040462427745665,184.13668452934704,0.7473035606767909,0.36335624900077035,0.4729718875181463,0.4729718875181463,0.4152515570260802,0.4152515570260802,,,0.2894023198744903,0.1,2.0,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Nueva Ecija,169.592,2020505.521155796,0.251958,1.0034516765285997,184.13668452934704,0.9210114781499232,0.2948252276050757,0.6617130782397799,0.6617130782397799,0.3821184371184371,0.3821184371184371,0.17663999999999996,0.14583959039733063,0.2086120158390508,0.1,9.92,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Nueva Vizcaya,214.169,433165.2047382509,0.2067043,0.8958652373660031,184.13668452934704,1.163097948393149,0.23346049148102666,0.594974157700887,0.594974157700887,0.33960568512670886,0.33960568512670886,0.22010999999999997,0.1839192075880406,0.2855739662070953,0.10000000000000002,14.25,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Occidental Mindoro,166.109,469105.61767793697,0.3809529,0.7915254237288135,184.13668452934704,0.9020961815652011,0.3010071699907892,0.6861607425128748,0.6861607425128748,0.4072810901296954,0.4072810901296954,,,0.39257221178759505,0.11762457201759342,2.0,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Oriental Mindoro,142.899,808182.4289353855,0.2932625,0.7915254237288135,184.13668452934704,0.7760485118174553,0.34989748003834875,0.6283169403287557,0.6283169403287557,0.4072810901296954,0.4072810901296954,,,0.41123392442766826,0.1439957324659606,2.0,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Palawan,132.64,1050521.9148566662,0.2638115,0.7915254237288135,184.13668452934704,0.7203344642542443,0.3769601930036189,0.5937960754864018,0.5937960754864018,0.4072810901296954,0.4072810901296954,,,0.4124880407505702,0.15423710635749108,2.0,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Pampanga,235.621,2444446.1713441224,0.0758104,1.0034516765285997,184.13668452934704,1.2795983625003717,0.21220519393432674,0.5837932175387104,0.5837932175387104,0.3821184371184371,0.3821184371184371,0.12350999999999998,0.10607851191573675,0.41261508459160245,0.10396692591850454,8.49,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Pangasinan,182.388,2854701.4824350993,0.2037179,0.8865671641791046,184.13668452934704,0.9905033343365736,0.27414084259929383,0.6355052998061068,0.6355052998061068,0.4469504407361655,0.4469504407361655,0.17111999999999997,0.14308973283714402,0.28141028225369713,0.1,17.58,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Quezon,179.092,2055103.1159547227,0.275423,1.1172069825436408,184.13668452934704,0.9726035876976865,0.2791861166327921,0.5899647608291725,0.5899647608291725,0.3627800347359787,0.3627800347359787,0.014719999999999999,0.012070178103914421,0.19009230656347692,0.09999999999999999,17.61,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Quirino,199.391,183040.96451634204,0.212089,0.8958652373660031,184.13668452934704,1.082842348930323,0.2507635750861373,0.5066289459082146,0.5066289459082146,0.33960568512670886,0.33960568512670886,,,0.28086245294692935,0.1,2.0,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Rizal,294.404,2678553.463480611,0.060974,1.1172069825436408,184.13668452934704,1.5988340441368105,0.1698346489857475,0.5480779870021686,0.5480779870021686,0.3627800347359787,0.3627800347359787,0.02553,0.021983772313013697,0.4079931427997029,0.10642572139809059,16.23,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Romblon,121.06,288015.178598222,0.404718,0.7915254237288135,184.13668452934704,0.6574463980897076,0.41301833801420784,0.5238821353245607,0.5238821353245607,0.4072810901296954,0.4072810901296954,,,0.38420035071308545,0.11233982414424147,2.0,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Samar,134.968,753363.0848952014,0.5002708,0.7040462427745665,184.13668452934704,0.732977246467633,0.3704581826803391,0.5951319383816496,0.5951319383816496,0.4152515570260802,0.4152515570260802,0.09130999999999999,0.06747709209707979,0.29001917218682083,0.1,11.87,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Sarangani,107.685,518718.74250278756,0.5315033,0.8813982521847692,184.13668452934704,0.5848101385948304,0.4643172215257464,0.4923335851569663,0.4923335851569663,0.3484690067214339,0.3484690067214339,0.000575,0.0004149134935208722,0.28553886075492774,0.1,23.94,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Siquijor,106.487,93087.55218664485,0.3257474000000001,0.8471615720524016,184.13668452934704,0.5783041020434387,0.4695408829246763,0.5665354446515243,0.5665354446515243,0.399510616283393,0.399510616283393,,,0.33141835270052966,0.10483821140647417,,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Sorsogon,142.671,760233.3788518818,0.4067276,0.8,184.13668452934704,0.7748103011883088,0.35045664500844603,0.6038947992282392,0.6038947992282392,0.4037939444704491,0.4037939444704491,,,0.341538423622197,0.1,2.0,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
South Cotabato,191.36,1424914.1707334302,0.3198151,0.8813982521847692,184.13668452934704,1.039228008743156,0.26128762541806017,0.5546535653941858,0.5546535653941858,0.3484690067214339,0.3484690067214339,0.0115,0.009294717289372346,0.34968397973213583,0.12758339654857612,6.51,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Southern Leyte,141.614,407424.6404592004,0.4327932,0.7040462427745665,184.13668452934704,0.7690700001575735,0.35307243634103974,0.6129789662766169,0.6129789662766169,0.4152515570260802,0.4152515570260802,,,0.31964541791608236,0.1,2.0,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Sultan Kudarat,113.736,784135.4195217527,0.4847439,0.8813982521847692,184.13668452934704,0.6176715970025689,0.4396145459660969,0.5950146856941948,0.5950146856941948,0.3484690067214339,0.3484690067214339,0.08578999999999999,0.06407264430057209,0.3034363233234798,0.1,7.14,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Sulu,109.666,739823.2412719583,0.4582355,0.6619964973730298,184.13668452934704,0.5955684511226323,0.45592982328160053,0.6242192511096097,0.6242192511096097,0.23898428694556786,0.23898428694556786,,,0.3330754384765676,0.1,2.0,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Surigao Del Norte,139.481,457632.98018437834,0.4184303,0.8212765957446808,184.13668452934704,0.7574862138770073,0.35847176317921436,0.5613603018902186,0.5613603018902186,0.3880031165672152,0.3880031165672152,,,0.31850421402075024,0.1,2.0,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Surigao Del Sur,141.879,573919.9514161077,0.3600577,0.8212765957446808,184.13668452934704,0.7705091484765374,0.3524129716166593,0.5732568884604499,0.5732568884604499,0.3880031165672152,0.3880031165672152,,,0.35392814491668056,0.1,,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Tarlac,190.392,1318604.0983568197,0.1655709,1.0034516765285997,184.13668452934704,1.0339710443176575,0.26261607630572714,0.6202846990147456,0.6202846990147456,0.3821184371184371,0.3821184371184371,0.13696499999999998,0.1155551522370205,0.26528065189459965,0.1,10.72,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Tawi-Tawi,123.225,376099.9071271427,0.2861021,0.6619964973730298,184.13668452934704,0.6692039683182242,0.40576181781294385,0.6822508896887527,0.6822508896887527,0.23898428694556786,0.23898428694556786,,,0.40282044147550455,0.12824756293436393,2.0,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Zambales,200.64,784152.0534266196,0.1599814,1.0034516765285997,184.13668452934704,1.0896253536487603,0.2492025518341308,0.6173693081510646,0.6173693081510646,0.3821184371184371,0.3821184371184371,,,0.2710552994709108,0.09999999999999999,2.0,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
Zamboanga Del Norte,110.122,987514.0715574793,0.543604,0.7598187311178247,184.13668452934704,0.5980448723809251,0.4540418808230871,0.576351329607065,0.576351329607065,0.35146437298987604,0.35146437298987604,,,0.3153283191776247,0.1,2.0,0.23,3,0.2,0.3,0.3333333333333333,0.3333333333333333,1.5,0.05
