description,Population, Average income of poor families, Average income of non poor families,Poverty incidence, Average income in the province,National GDP per capita,Social protection for poor people,Social protection for non-poor people,Asset vulnerability (poor people),Asset vulnerability (non-poor people),Access to early warning for poor people,Access to early warning for nonpoor people,"Exposure, poor people","Exposure, non-poor people", Hazard (protection),Productivity of capital,Time to reconstruct,Avoided losses with early warning,Effective scale up for non-poor people,Effective scale up for poor people,Elasticity of utility,Discount rate,Asset vulnerability (shared losses), Hazard (protection),Average asset losses per person in the event of a disaster,Average welfare losses in the event of a disaster,Average consumption losses for poor people in the event of a disaster,Average consumption losses for nonpoor people in the event of a disaster,Average asset losses across persons in the event of a disaster,Expected welfare losses per capita due to natural disasters ,Total expected welfare losses due to natural disasters,Expected welfare losses,Socio-economic capacity,Risk to assets
variable,pop,cp,cr,pov_head,gdp_pc_pp,gdp_pc_pp_nat,social_p,social_r,v_p,v_r,shewp,shewr,fap,far,protection,avg_prod_k,T_rebuild_K,pi,sigma_r,sigma_p,income_elast,rho,v_s,protectionref,dK,delta_W,dcap,dcar,dKtot,dWpc_curency,dWtot_currency,risk,resilience,risk_to_assets
province,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoa Binh,814113,298.437464500658,4727.31610324083,0.508771955966949,2474.02685546875,3692.17485218631,0.104054864495993,0.104054864495993,0.0436781603494512,0.0333333333333333,0.920353982300885,0.920353982300885,0.232824744944062,0.190618185377046,7.96346,0.2697,3,0.2,0,0,1.5,0.05,0.02719764011799407,7.96346,49.31012926291361,1.38736618116031e-05,36.061309172183975,436.57214225656094,5041027.049124173,19.175203615305723,15610782.540867388,0.007750604474207547,0.3229195612665344,0.0025028217963615398
Thai Nguyen,1201300,402.232749789315,4356.73529099745,0.258503407239914,3334.48291015625,3692.17485218631,0.098390681669116,0.098390681669116,0.096491223927983,0.0333333333333333,0.979591836734694,0.979591836734694,0.280026837788066,0.246397023772104,8.3786,0.2697,3,0.2,0,0,1.5,0.05,0.026802721088435344,8.3786,87.48122717405641,1.7021397388683468e-05,105.42982722345678,400.8675602638819,12542811.233880835,34.98741327525706,42030379.567566305,0.01049260536579496,0.2984225068374062,0.0031312295965161513
Lang Son,779760,237.483649140955,3801.80172635352,0.514285743236542,1968.72375488281,3692.17485218631,0.0929199308156967,0.0929199308156967,0.0333333333333333,0.0333333333333333,0.885714285714286,0.885714285714286,0.218678382750677,0.178586267385539,7.18283,0.2697,3,0.2,0,0,1.5,0.05,0.027428571428571396,7.18283,36.254495400769834,1.2016209199883221e-05,22.398703620850668,357.1334774190108,3935747.5164669477,13.070512786179782,10191863.050151547,0.006639079126140689,0.3861656595168265,0.0025637843693305153
Quang Ninh,1206649,522.968702317192,4970.77722207547,0.142857149243355,4335.3759765625,3692.17485218631,0.137298237532377,0.137298237532377,0.0333333333333333,0.0333333333333333,0.857142857142857,0.857142857142857,0.287255360976774,0.257411919428429,6.50645,0.2697,3,0.2,0,0,1.5,0.05,0.02761904761904759,6.50645,114.51173063554776,6.843039901616166e-06,48.31456490390051,457.1404492841476,21236690.55470388,26.852874983242554,32401994.745654646,0.006193897629274146,0.6554130608749601,0.004059561403948727
Bac Giang,1660898,409.266706371464,4621.3051022748,0.291666656732559,3392.7939453125,3692.17485218631,0.174647849053144,0.174647849053144,0.0333333333333333,0.0333333333333333,0.922619047619048,0.922619047619048,0.326213060580954,0.285202318459149,7.34845,0.2697,3,0.2,0,0,1.5,0.05,0.02718253968253965,7.34845,98.01922306562504,1.0495360335482928e-05,36.39517978868013,407.6263395845153,22154322.55118433,25.245211061293254,41929720.56127984,0.0074408323842278,0.5283679989902633,0.003931497717676393
Phu Tho,1409905,325.830378825752,2840.83477201691,0.0555555559694767,2701.1123046875,3692.17485218631,0.11145331710577,0.11145331710577,0.0333333333333333,0.0333333333333333,1.0,1.0,0.321292266730143,0.290998182711012,8.22366,0.2697,3,0.2,0,0,1.5,0.05,0.02666666666666664,8.22366,77.77205744802394,8.24622270112485e-06,29.779576446858304,258.69240305666335,13333626.713197796,12.59066243766201,17751637.924171858,0.0046612880241270315,0.7511209258635119,0.003501190976398796
Phu Tho,1409905,331.372120696666,4253.30102905185,0.384057968854904,2747.05297851562,3692.17485218631,0.261015903204679,0.261015903204679,0.0861635209601078,0.0333333333333333,0.847826086956522,0.847826086956522,0.321292266730143,0.274841338084031,8.22366,0.2697,3,0.2,0,0,1.5,0.05,0.027681159420289824,8.22366,84.74945938422428,2.421240607120012e-05,67.82018091747652,353.91701307525386,14529867.05835537,37.915633485529675,53457441.229415715,0.013802294233880238,0.27180251662251476,0.003751498307933073
Vinh Phuc,1268179,391.245303312349,3891.61413394511,0.185185179114342,3243.39770507812,3692.17485218631,0.179372223094106,0.179372223094106,0.0333333333333333,0.0333333333333333,0.97037037037037,0.97037037037037,0.576737087466279,0.513706271526953,8.50046,0.2697,3,0.2,0,0,1.5,0.05,0.026864197530864168,8.50046,166.41663188009156,1.637018716316163e-05,36.0123014780312,353.82230177352795,24827606.717879105,31.81713506942754,40349822.53521155,0.009809816113396182,0.6153089445737494,0.006036067599196365
Bac Ninh,1084891,606.924061066813,5414.57926035212,0.0797101482748985,5031.3603515625,3692.17485218631,0.221526484936476,0.221526484936476,0.0333333333333333,0.0333333333333333,0.949275362318841,0.949275362318841,0.366131488005726,0.330703505887772,6.93767,0.2697,3,0.2,0,0,1.5,0.05,0.027004830917874364,6.93767,166.77535166658006,7.2269130630964185e-06,52.23743557684212,461.7732346175503,26079804.609459333,33.252026980268674,36074824.80265066,0.0066089535745421585,0.7229364176300329,0.004777853221462709
Hai Duong,1825318,397.122277377662,3952.72038332814,0.185792356729507,3292.11743164062,3692.17485218631,0.229850724339485,0.229850724339485,0.0333333333333333,0.0333333333333333,0.896174863387978,0.896174863387978,0.75982113587613,0.676719386866709,10.0686,0.2697,3,0.2,0,0,1.5,0.05,0.02735883424408012,10.0686,226.6178930681532,2.182345846324374e-05,38.06083807885502,371.17613999695675,41083141.58268034,36.620079547744844,66843290.35993052,0.011123564182671122,0.614618780156696,0.0068367514489480405
Hai Phong city,1941369,515.267226371233,4462.52771979616,0.0483870953321457,4271.53125,3692.17485218631,0.290047507733107,0.290047507733107,0.0333333333333333,0.0333333333333333,0.913978494623656,0.913978494623656,0.808409112789193,0.732759824454356,6.50645,0.2697,3,0.2,0,0,1.5,0.05,0.027240143369175598,6.50645,316.32630107254283,1.6673462327032595e-05,49.15079257564054,415.7860665088774,94384199.49233474,63.988398937825934,124225094.0575282,0.01498020152324203,0.75978368306669,0.011381712686410068
Hung Yen,1210637,385.864507057036,3426.30738301591,0.0748299285769463,3198.79125976562,3692.17485218631,0.204068381339312,0.204068381339312,0.0333333333333333,0.0333333333333333,0.91156462585034,0.91156462585034,0.604606176882374,0.546411270524647,8.47514,0.2697,3,0.2,0,0,1.5,0.05,0.02725623582766437,8.47514,176.81039620812166,1.5004518713945814e-05,35.84949049208668,314.2155550534685,25256598.4319093,28.6482665929723,34682651.523316205,0.008955966259289891,0.7282199405927766,0.006521913217290996
Thai Binh,1893200,334.465398242699,3799.31948597213,0.296296298503876,2772.69604492188,3692.17485218631,0.343015007674694,0.343015007674694,0.036904761798325,0.0333333333333333,0.793650793650794,0.793650793650794,1.02849214203504,0.898341860583123,26.6819,0.2697,3,0.2,0,0,1.5,0.05,0.02804232804232801,26.6819,261.4629864985694,3.968299583734236e-05,37.56420531296658,381.2629721089934,18551966.915365536,19.421633764238457,36769037.04245625,0.00700460254192257,0.5045540598178859,0.003534200649937716
Ha Nam,820850,424.718545678186,4220.02385071535,0.184210523962975,3520.888671875,3692.17485218631,0.233447596430779,0.233447596430779,0.0333333333333333,0.0333333333333333,0.912280701754386,0.912280701754386,0.728442311372076,0.648926950480232,13.9209,0.2697,3,0.2,0,0,1.5,0.05,0.027251461988304065,13.9209,231.49299939357465,2.0107443708727857e-05,40.19451508321014,391.45938850504064,13650053.41265405,26.99070693242506,22155321.78548111,0.00766587911399412,0.616107206422939,0.004723003365698872
Nam Dinh,1941310,410.819529696956,4083.74538107751,0.184615388512611,3405.66674804688,3692.17485218631,0.175071448087692,0.175071448087692,0.0333333333333333,0.0333333333333333,0.897435897435897,0.897435897435897,0.962803890401003,0.857653886118404,20.1754,0.2697,3,0.2,0,0,1.5,0.05,0.027350427350427323,20.1754,297.01715061901876,2.7148171260371612e-05,41.39013921388908,403.8143474934486,28579476.226900447,23.92025820976275,46436636.46519452,0.007023663787268913,0.6154510404370375,0.004322721185554595
Ninh Binh,966681,347.223452643028,3713.50640295657,0.248062014579773,2878.45947265625,3692.17485218631,0.250944703817368,0.250944703817368,0.0333333333333333,0.0333333333333333,0.829457364341085,0.829457364341085,0.809131343510686,0.713308077419713,6.98026,0.2697,3,0.2,0,0,1.5,0.05,0.027803617571059404,6.98026,212.52004186654673,2.7395248911377124e-05,34.0810625529932,355.2865805923197,29431437.595676273,54.21163945932345,52405361.84417825,0.01883356009501041,0.5616111893891222,0.010577138085390306
