description,Population, Average income of poor families, Average income of non poor families,Poverty incidence, Average income in the province,National GDP per capita,Social protection for poor people,Social protection for non-poor people,Asset vulnerability (poor people),Asset vulnerability (non-poor people),Access to early warning for poor people,Access to early warning for nonpoor people,"Exposure, poor people","Exposure, non-poor people", Hazard (protection),Productivity of capital,Time to reconstruct,Avoided losses with early warning,Effective scale up for non-poor people,Effective scale up for poor people,Elasticity of utility,Discount rate,Asset vulnerability (shared losses), Hazard (protection),Average asset losses per person in the event of a disaster,Average welfare losses in the event of a disaster,Average consumption losses for poor people in the event of a disaster,Average consumption losses for nonpoor people in the event of a disaster,Average asset losses across persons in the event of a disaster,Expected welfare losses per capita due to natural disasters ,Total expected welfare losses due to natural disasters,Expected welfare losses,Socio-economic capacity,Risk to assets
variable,pop,cp,cr,pov_head,gdp_pc_pp,gdp_pc_pp_nat,social_p,social_r,v_p,v_r,shewp,shewr,fap,far,protection,avg_prod_k,T_rebuild_K,pi,sigma_r,sigma_p,income_elast,rho,v_s,protectionref,dK,delta_W,dcap,dcar,dKtot,dWpc_curency,dWtot_currency,risk,resilience,risk_to_assets
province,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binh Duong,1569189,728.060595893577,6221.80276727945,0.0338983051478863,6035.57421875,3692.17485218631,0.0944770984351635,0.0944770984351635,0.0666666663562259,0.0333333333333333,0.92090395480226,0.92090395480226,0.187103869577452,0.169857650660892,7.41996,0.2697,3,0.2,0,0,1.5,0.05,0.02719397363465157,7.41996,103.87874301255697,3.4626327893860775e-06,134.24778786069862,578.1447120931173,21968498.59960583,19.57227224726725,30712594.315417048,0.00324281858492675,0.7152928330960997,0.00231956489282894
Dong Nai,2647668,544.607626820477,5035.43712388468,0.115942031145096,4514.76123046875,3692.17485218631,0.212708599865437,0.212708599865437,0.0499999990764385,0.0333333333333333,0.922705314009662,0.922705314009662,0.230242842089157,0.207050780085804,7.16257,0.2697,3,0.2,0,0,1.5,0.05,0.02718196457326889,7.16257,95.09337183065637,5.709232748563053e-06,67.50835903428649,421.90243465234266,35151583.52492615,21.627175309471394,57261579.997277506,0.004790325380557485,0.6138772895647907,0.002940671960750053
Ba Ria - Vung Tau,1038345,634.665960853,5559.8339028724,0.060606062412262,5261.3388671875,3692.17485218631,0.106365650892258,0.106365650892258,0.0333333333333333,0.0333333333333333,0.878787878787879,0.878787878787879,0.20378248862466,0.184464892693749,6.50645,0.2697,3,0.2,0,0,1.5,0.05,0.027474747474747443,6.50645,98.9452912833814,3.8909806896469945e-06,59.17879046560663,517.2573564204042,15790384.6917509,20.4133711508383,21196121.867617197,0.0038798814648010817,0.744965743751218,0.002890378781092103
Ho Chi Minh city,7645628,754.118530391551,6412.80903147386,0.0284900292754173,6251.5927734375,3692.17485218631,0.212258517742157,0.212258517742157,0.0533333330241342,0.0333333333333333,0.937321937321937,0.937321937321937,0.271891992907135,0.246969979520418,8.37511,0.2697,3,0.2,0,0,1.5,0.05,0.027084520417853725,8.37511,155.45692461076266,4.648285312658373e-06,99.82226883777211,541.0682420446553,141916442.36289868,24.537880236715132,187607504.19847584,0.0039250605607221494,0.7564539753844857,0.0029691276647831285
Long An,1521494,446.49182222143,4162.9027820022,0.124183006584644,3701.3876953125,3692.17485218631,0.118592367041856,0.118592367041856,0.117543860287633,0.0333333333333333,0.934640522875817,0.934640522875817,0.597967909477195,0.537168623441823,7.60852,0.2697,3,0.2,0,0,1.5,0.05,0.02710239651416119,7.60852,208.55895314578623,2.557662122670834e-05,142.6381563819333,395.37223809421437,41706034.26916074,67.70810705178182,103017478.63064374,0.018292627691373298,0.40484425384446165,0.00740566520856856
Tien Giang,1766823,453.366776904471,4324.3076135049,0.146198824048042,3758.38061523438,3692.17485218631,0.214664444327354,0.214664444327354,0.0653333344872793,0.0333333333333333,0.929824561403509,0.929824561403509,0.418282559234269,0.374656400314555,9.14733,0.2697,3,0.2,0,0,1.5,0.05,0.027134502923976577,9.14733,144.637712591172,1.353944765636328e-05,74.30610987170331,376.665205471134,27937030.50764237,30.503197926519473,53893751.670126915,0.008116048120000543,0.518372346364741,0.004207134907173827
Ben Tre,1338446,460.168400465307,4701.93184620075,0.209150329232216,3814.765625,3692.17485218631,0.236223973333836,0.236223973333836,0.095833334957327,0.0333333333333333,0.862745098039216,0.862745098039216,0.564743071624211,0.501152761560821,11.8862,0.2697,3,0.2,0,0,1.5,0.05,0.027581699346405197,11.8862,206.56238960172948,2.6730950781761464e-05,109.6163158449335,424.1934167273044,23259965.683976073,47.39324698524702,63433301.85441593,0.0124236327062025,0.3666838238589471,0.004555545146929412
Tra Vinh,1067173,376.19460585926,4023.3488463474,0.248062014579773,3118.62841796875,3692.17485218631,0.163533758372068,0.163533758372068,0.108333334730317,0.0333333333333333,0.868217054263566,0.868217054263566,0.604311997744502,0.532744940274463,6.50645,0.2697,3,0.2,0,0,1.5,0.05,0.027545219638242864,6.50645,183.3282925600074,3.9911090413013994e-05,108.24733960939068,379.51703636887714,30069085.90032057,95.551750259834,101970247.98003782,0.03063903019330194,0.2948809725970955,0.009034867022832651
Vinh Long,1094013,434.633855808223,4103.36786239925,0.136363640427589,3603.0859375,3692.17485218631,0.291658207774162,0.291658207774162,0.100000001490116,0.0333333333333333,0.909090909090909,0.909090909090909,0.467809867931872,0.419573740971629,11.3891,0.2697,3,0.2,0,0,1.5,0.05,0.027272727272727247,11.3891,158.76950824891475,1.7968348832164693e-05,99.39424467812101,344.6986340488425,15251065.143682994,30.519464401333703,33388690.80809629,0.008470368159608655,0.4567733796853401,0.0038690386914435396
Dong Thap,1795403,406.833026072023,4043.70911411237,0.184523805975914,3372.61889648438,3692.17485218631,0.259860575199127,0.259860575199127,0.07204301387635,0.0333333333333333,0.922619047619048,0.922619047619048,0.308074783670659,0.274433013928521,7.24176,0.2697,3,0.2,0,0,1.5,0.05,0.02718253968253965,7.24176,96.24664741638227,1.2001770724134886e-05,68.8747920237021,330.71413729575704,23861812.53056094,29.033051303859565,52126027.41010337,0.008608458943915553,0.4577715532171151,0.003940707621561989
An Giang,2278114,417.040600481882,4161.92076211708,0.188172042369843,3457.23901367188,3692.17485218631,0.197066821157932,0.197066821157932,0.0504761902791302,0.0333333333333333,0.875675675675676,0.875675675675676,0.428289720847899,0.381310304502141,8.68129,0.2697,3,0.2,0,0,1.5,0.05,0.027495495495495462,8.68129,136.53474326633992,1.4366209762028959e-05,55.283194300310825,372.5691650146825,35828973.58819423,30.088495587291927,68545023.03634796,0.008703041782273364,0.5227071492731848,0.004549142160017528
Kien Giang,1776300,483.071859797995,5487.39672234656,0.296296298503876,4004.6337890625,3692.17485218631,0.218547604978085,0.218547604978085,0.0958333321691801,0.0333333333333333,0.895061728395062,0.895061728395062,0.477331921865745,0.416928072932213,7.33588,0.2697,3,0.2,0,0,1.5,0.05,0.02736625514403289,7.33588,183.29334419273195,2.7442474769712177e-05,115.23859005956484,485.84929086446505,44382400.92389049,84.79198841384716,150616009.0195167,0.021173468756477055,0.29467253323741593,0.006239239675894373
Can Tho city,1249838,482.062187431065,5100.72701128846,0.239130437374115,3996.263671875,3692.17485218631,0.174407631158829,0.174407631158829,0.0393939393169706,0.0333333333333333,0.927536231884058,0.927536231884058,0.386586392911113,0.341341421140387,7.01821,0.2697,3,0.2,0,0,1.5,0.05,0.027149758454106252,7.01821,138.65891217147757,1.1586466318380673e-05,50.620204846407525,454.4872157532968,24693073.799526542,37.30305795183421,46622779.34440457,0.00933448366141768,0.5296353873954552,0.0049438728701515005
Hau Giang,826311,462.095065262792,5728.5642492886,0.360360354185104,3830.73754882812,3692.17485218631,0.28019779920578,0.28019779920578,0.11833333700647,0.0333333333333333,0.899082568807339,0.899082568807339,0.459386012985998,0.395430739115401,8.54887,0.2697,3,0.2,0,0,1.5,0.05,0.027339449541284377,8.54887,174.40778432999784,3.4876565931263315e-05,125.72608350098737,482.3331041158809,16857791.810789593,86.51503956700127,71488328.85964838,0.022584434058518968,0.23581180424410483,0.0053256761431713685
Soc Trang,1369152,366.118821317621,4209.4528956063,0.305555552244186,3035.10083007812,3692.17485218631,0.21113008633256,0.21113008633256,0.106060609219406,0.0333333333333333,0.798611111111111,0.798611111111111,0.609894007626845,0.531686071450096,8.14925,0.2697,3,0.2,0,0,1.5,0.05,0.02800925925925923,8.14925,183.9588728788364,4.568837180540797e-05,100.33454199526987,393.94109927323655,30906851.393662553,83.84820902469316,114800943.08257669,0.02762616918480926,0.2692212325418891,0.007437551318345105
Bac Lieu,910395,386.26308673893,3596.31199444708,0.122807018458843,3202.09545898438,3692.17485218631,0.224404036998749,0.224404036998749,0.0904761887732007,0.0333333333333333,0.929824561403509,0.929824561403509,0.827240503491187,0.743261520444602,6.50645,0.2697,3,0.2,0,0,1.5,0.05,0.027134502923976577,6.50645,246.61992765804436,3.1399144805766e-05,89.0258370061195,340.9788973164123,34507534.683313526,78.21109979752904,71202994.20017146,0.024424974457924353,0.48463600542279495,0.011837222053842255
Ca Mau,1285336,362.868249986972,3681.49920822684,0.202898547053337,3008.15380859375,3692.17485218631,0.127139372751117,0.127139372751117,0.133333332189137,0.0333333333333333,0.934782608695652,0.934782608695652,0.698339528137324,0.620322932831807,7.67476,0.2697,3,0.2,0,0,1.5,0.05,0.027101449275362288,7.67476,203.5892084909719,4.828555737779183e-05,130.54833491801423,352.0863359956777,34096250.42150528,92.84297240406504,119334414.77795134,0.030863771705698526,0.2857201795890068,0.00881840239454629
