province,gdp_pc_pp,pop,pov_head,shew,gdp_pc_pp_nat,rel_gdp_pp,share1,axfin_p,axfin_r,social_p,social_r,fap,far,v_p,v_r,protection,avg_prod_k,T_rebuild_K,pi,nat_buyout,sigma_r,sigma_p,income_elast,rho,protectionref,gdp_pc_pp_ref,v_s,dK,delta_W,dcap,dcar,dKtot,deltaW_nat,equivalent_cost,risk,total_equivalent_cost,resilience,risk_to_assets
Nueva Vizcaya,6.0,31.0,24.0,13.0,1.0,6.0,30.0,15.0,15.0,28.0,28.0,2.0,2.0,20.0,10.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,6.0,10.0,3.0,6.0,28.0,27.0,14.0,14.0,12.0,14.0,19.0,8.0,10.0
Pampanga,4.0,7.0,32.0,5.0,1.0,4.0,32.0,20.0,20.0,15.0,15.0,9.0,8.0,2.0,9.0,26.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,26.0,4.0,9.0,7.0,20.0,2.0,9.0,2.0,2.0,15.0,21.0,8.0,4.0,11.0
Pangasinan,11.0,3.0,25.0,16.0,1.0,11.0,25.0,4.0,4.0,1.0,1.0,5.0,5.0,22.0,10.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,11.0,10.0,4.0,10.0,21.0,21.0,1.0,1.0,19.0,18.0,7.0,10.0,17.0
Quezon,13.0,8.0,20.0,1.0,1.0,13.0,23.0,18.0,18.0,19.0,19.0,28.0,28.0,31.0,10.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,13.0,10.0,26.0,26.0,27.0,18.0,19.0,19.0,26.0,26.0,24.0,13.0,28.0
Rizal,1.0,5.0,35.0,1.0,1.0,1.0,35.0,24.0,24.0,19.0,19.0,25.0,24.0,3.0,6.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,6.0,25.0,30.0,25.0,26.0,15.0,15.0,32.0,34.0,27.0,1.0,31.0
Samar,30.0,24.0,6.0,33.0,1.0,30.0,6.0,13.0,13.0,7.0,7.0,14.0,14.0,18.0,10.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,30.0,10.0,13.0,8.0,17.0,17.0,16.0,16.0,9.0,7.0,17.0,29.0,13.0
Sarangani,35.0,30.0,4.0,20.0,1.0,35.0,1.0,30.0,30.0,24.0,24.0,35.0,35.0,21.0,10.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,35.0,10.0,33.0,28.0,15.0,25.0,34.0,34.0,31.0,27.0,34.0,34.0,33.0
South Cotabato,9.0,13.0,18.0,20.0,1.0,9.0,27.0,23.0,23.0,24.0,24.0,31.0,30.0,10.0,3.0,33.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33.0,9.0,3.0,32.0,31.0,6.0,3.0,29.0,29.0,25.0,25.0,26.0,17.0,26.0
Sultan Kudarat,34.0,22.0,9.0,20.0,1.0,34.0,2.0,14.0,14.0,24.0,24.0,16.0,15.0,14.0,10.0,32.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.0,34.0,10.0,20.0,12.0,12.0,23.0,22.0,22.0,4.0,4.0,11.0,32.0,6.0
Tarlac,10.0,15.0,30.0,5.0,1.0,10.0,26.0,5.0,5.0,15.0,15.0,7.0,6.0,24.0,10.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,10.0,10.0,11.0,17.0,30.0,31.0,10.0,10.0,16.0,17.0,14.0,9.0,14.0
Zamboanga Del Sur,20.0,11.0,17.0,32.0,1.0,20.0,16.0,25.0,25.0,23.0,23.0,21.0,20.0,4.0,2.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,20.0,2.0,15.0,15.0,1.0,4.0,9.0,9.0,20.0,19.0,13.0,20.0,20.0
