AREA # 010101,Sucre,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",97,4.05,4.05
"Adobe, tapial","           2,231",93.15,97.2
"Tabique,quinche",12,0.5,97.7
Piedra,21,0.88,98.58
"Caña, palma, tronco",1,0.04,98.62
Otro,33,1.38,100
Total,"           2,395",100,100
NSA :,482,,
AREA # 020806,Jesús de Machaca,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",77,1.56,1.56
"Adobe, tapial","           4,540",91.83,93.39
"Tabique,quinche",7,0.14,93.53
Piedra,313,6.33,99.86
Madera,3,0.06,99.92
"Caña, palma, tronco",2,0.04,99.96
Otro,2,0.04,100
Total,"           4,944",100,100
NSA :,913,,
AREA # 020807,Taraco,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",192,10.58,10.58
"Adobe, tapial","           1,611",88.76,99.34
"Tabique,quinche",7,0.39,99.72
Madera,2,0.11,99.83
Otro,3,0.17,100
Total,"           1,815",100,100
NSA :,81,,
AREA # 020901,Luribay,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",705,17.99,17.99
"Adobe, tapial","           3,168",80.84,98.83
"Tabique,quinche",2,0.05,98.88
Piedra,14,0.36,99.23
"Caña, palma, tronco",15,0.38,99.62
Otro,15,0.38,100
Total,"           3,919",100,100
NSA :,367,,
AREA # 020902,Sapahaqui,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",336,7.33,7.33
"Adobe, tapial","           4,189",91.34,98.67
"Tabique,quinche",14,0.31,98.98
Piedra,1,0.02,99
Madera,7,0.15,99.15
"Caña, palma, tronco",26,0.57,99.72
Otro,13,0.28,100
Total,"           4,586",100,100
NSA :,424,,
AREA # 020903,Yaco,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",56,2.42,2.42
"Adobe, tapial","           2,240",96.68,99.09
"Tabique,quinche",9,0.39,99.48
Piedra,7,0.3,99.78
"Caña, palma, tronco",2,0.09,99.87
Otro,3,0.13,100
Total,"           2,317",100,100
NSA :,523,,
AREA # 020904,Malla,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",151,12.27,12.27
"Adobe, tapial","           1,037",84.24,96.51
"Tabique,quinche",6,0.49,96.99
Piedra,33,2.68,99.68
Madera,3,0.24,99.92
Otro,1,0.08,100
Total,"           1,231",100,100
NSA :,159,,
AREA # 020905,Cairoma,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",238,7.69,7.69
"Adobe, tapial","           2,726",88.13,95.83
"Tabique,quinche",13,0.42,96.25
Piedra,20,0.65,96.9
Madera,61,1.97,98.87
"Caña, palma, tronco",4,0.13,99
Otro,31,1,100
Total,"           3,093",100,100
NSA :,102,,
AREA # 021001,Inquisivi,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",120,2.48,2.48
"Adobe, tapial","           4,174",86.44,88.92
"Tabique,quinche",41,0.85,89.77
Piedra,36,0.75,90.52
Madera,150,3.11,93.62
"Caña, palma, tronco",285,5.9,99.52
Otro,23,0.48,100
Total,"           4,829",100,100
NSA :,560,,
AREA # 021002,Quime,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",822,24,24
"Adobe, tapial","           1,911",55.8,79.8
"Tabique,quinche",16,0.47,80.26
Piedra,576,16.82,97.08
Madera,68,1.99,99.07
"Caña, palma, tronco",10,0.29,99.36
Otro,22,0.64,100
Total,"           3,425",100,100
NSA :,521,,
AREA # 021003,Cajuata,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",460,15.26,15.26
"Adobe, tapial","           2,410",79.96,95.22
"Tabique,quinche",2,0.07,95.29
Piedra,18,0.6,95.89
Madera,50,1.66,97.54
"Caña, palma, tronco",59,1.96,99.5
Otro,15,0.5,100
Total,"           3,014",100,100
NSA :,133,,
AREA # 021004,Colquiri,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",215,3.64,3.64
"Adobe, tapial","           5,590",94.67,98.31
"Tabique,quinche",38,0.64,98.95
Piedra,26,0.44,99.39
Madera,24,0.41,99.8
"Caña, palma, tronco",4,0.07,99.86
Otro,8,0.14,100
Total,"           5,905",100,100
NSA :,409,,
AREA # 021005,Ichoca,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",32,1.89,1.89
"Adobe, tapial","           1,603",94.91,96.8
"Tabique,quinche",8,0.47,97.28
Piedra,39,2.31,99.59
Otro,7,0.41,100
Total,"           1,689",100,100
NSA :,146,,
AREA # 021006,Villa Libertad Licoma,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",87,8.47,8.47
"Adobe, tapial",883,85.98,94.45
"Tabique,quinche",2,0.19,94.64
Madera,36,3.51,98.15
"Caña, palma, tronco",15,1.46,99.61
Otro,4,0.39,100
Total,"           1,027",100,100
NSA :,8,,
AREA # 021101,Chulumani,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           1,381",22.69,22.69
"Adobe, tapial","           4,574",75.14,97.83
"Tabique,quinche",12,0.2,98.03
Piedra,15,0.25,98.28
Madera,42,0.69,98.97
"Caña, palma, tronco",15,0.25,99.21
Otro,48,0.79,100
Total,"           6,087",100,100
NSA :,766,,
AREA # 021102,Irupana,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           1,008",15.5,15.5
"Adobe, tapial","           4,794",73.72,89.22
"Tabique,quinche",8,0.12,89.34
Piedra,305,4.69,94.03
Madera,182,2.8,96.83
"Caña, palma, tronco",148,2.28,99.11
Otro,58,0.89,100
Total,"           6,503",100,100
NSA :,881,,
AREA # 021103,Yanacachi,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           1,070",46.58,46.58
"Adobe, tapial",571,24.86,71.44
"Tabique,quinche",4,0.17,71.62
Piedra,538,23.42,95.04
Madera,66,2.87,97.91
"Caña, palma, tronco",15,0.65,98.56
Otro,33,1.44,100
Total,"           2,297",100,100
NSA :,136,,
AREA # 021104,Palos Blancos,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           1,580",17.05,17.05
"Adobe, tapial",936,10.1,27.16
"Tabique,quinche",8,0.09,27.24
Piedra,30,0.32,27.57
Madera,"           5,756",62.13,89.69
"Caña, palma, tronco",777,8.39,98.08
Otro,178,1.92,100
Total,"           9,265",100,100
NSA :,595,,
AREA # 021105,La Asunta,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           1,405",10.56,10.56
"Adobe, tapial","           7,487",56.28,66.84
"Tabique,quinche",108,0.81,67.65
Piedra,61,0.46,68.11
Madera,"           3,569",26.83,94.94
"Caña, palma, tronco",482,3.62,98.56
Otro,191,1.44,100
Total,"          13,303",100,100
NSA :,"           1,009",,
AREA # 021201,Pucarani,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",989,9.04,9.04
"Adobe, tapial","           9,837",89.87,98.9
"Tabique,quinche",37,0.34,99.24
Piedra,43,0.39,99.63
Madera,3,0.03,99.66
"Caña, palma, tronco",4,0.04,99.7
Otro,33,0.3,100
Total,"          10,946",100,100
NSA :,"           1,316",,
AREA # 021202,Laja,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           1,306",17.36,17.36
"Adobe, tapial","           6,072",80.69,98.05
"Tabique,quinche",29,0.39,98.43
Piedra,103,1.37,99.8
Madera,3,0.04,99.84
Otro,12,0.16,100
Total,"           7,525",100,100
NSA :,300,,
AREA # 021203,Batallas,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",735,12.18,12.18
"Adobe, tapial","           5,254",87.06,99.24
"Tabique,quinche",23,0.38,99.62
Piedra,19,0.31,99.93
Madera,1,0.02,99.95
Otro,3,0.05,100
Total,"           6,035",100,100
NSA :,968,,
AREA # 021204,Puerto Pérez,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",403,15.89,15.89
"Adobe, tapial","           2,117",83.48,99.37
"Tabique,quinche",1,0.04,99.41
Piedra,11,0.43,99.84
Madera,2,0.08,99.92
Otro,2,0.08,100
Total,"           2,536",100,100
NSA :,239,,
AREA # 021301,Sica Sica,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",881,9.43,9.43
"Adobe, tapial","           8,363",89.49,98.92
"Tabique,quinche",20,0.21,99.13
Piedra,54,0.58,99.71
Madera,5,0.05,99.76
"Caña, palma, tronco",3,0.03,99.8
Otro,19,0.2,100
Total,"           9,345",100,100
NSA :,"           1,162",,
AREA # 021302,Umala,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",314,9.76,9.76
"Adobe, tapial","           2,882",89.61,99.38
"Tabique,quinche",9,0.28,99.66
Piedra,3,0.09,99.75
Madera,1,0.03,99.78
Otro,7,0.22,100
Total,"           3,216",100,100
NSA :,492,,
AREA # 021303,Ayo Ayo,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",154,5.45,5.45
"Adobe, tapial","           2,664",94.27,99.72
"Tabique,quinche",3,0.11,99.82
Piedra,3,0.11,99.93
Madera,1,0.04,99.96
Otro,1,0.04,100
Total,"           2,826",100,100
NSA :,408,,
AREA # 021304,Calamarca,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",241,6.46,6.46
"Adobe, tapial","           3,473",93.04,99.49
"Tabique,quinche",8,0.21,99.71
Piedra,5,0.13,99.84
Madera,1,0.03,99.87
Otro,5,0.13,100
Total,"           3,733",100,100
NSA :,328,,
AREA # 021305,Patacamaya,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           1,031",13.67,13.67
"Adobe, tapial","           6,423",85.15,98.82
"Tabique,quinche",11,0.15,98.97
Piedra,30,0.4,99.36
Madera,24,0.32,99.68
"Caña, palma, tronco",3,0.04,99.72
Otro,21,0.28,100
Total,"           7,543",100,100
NSA :,665,,
AREA # 021306,Colquencha,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",169,5.33,5.33
"Adobe, tapial","           2,798",88.29,93.63
"Tabique,quinche",7,0.22,93.85
Piedra,181,5.71,99.56
Madera,1,0.03,99.59
"Caña, palma, tronco",1,0.03,99.62
Otro,12,0.38,100
Total,"           3,169",100,100
NSA :,518,,
AREA # 021307,Collana,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",156,12.26,12.26
"Adobe, tapial","           1,062",83.49,95.75
"Tabique,quinche",2,0.16,95.91
Piedra,37,2.91,98.82
Otro,15,1.18,100
Total,"           1,272",100,100
NSA :,90,,
AREA # 021401,Coroico,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           2,494",35.37,35.37
"Adobe, tapial","           3,657",51.86,87.22
"Tabique,quinche",24,0.34,87.56
Piedra,63,0.89,88.46
Madera,599,8.49,96.95
"Caña, palma, tronco",100,1.42,98.37
Otro,115,1.63,100
Total,"           7,052",100,100
NSA :,281,,
AREA # 021402,Coripata,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           1,868",33.35,33.35
"Adobe, tapial","           3,480",62.12,95.47
"Tabique,quinche",41,0.73,96.2
Piedra,14,0.25,96.45
Madera,139,2.48,98.93
"Caña, palma, tronco",38,0.68,99.61
Otro,22,0.39,100
Total,"           5,602",100,100
NSA :,341,,
AREA # 021501,Ixiamas,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",474,20.23,20.23
"Adobe, tapial",35,1.49,21.72
"Tabique,quinche",18,0.77,22.49
Piedra,7,0.3,22.79
Madera,"           1,603",68.42,91.21
"Caña, palma, tronco",98,4.18,95.39
Otro,108,4.61,100
Total,"           2,343",100,100
NSA :,298,,
AREA # 021502,San Buenaventura,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",485,24.08,24.08
"Adobe, tapial",60,2.98,27.06
"Tabique,quinche",19,0.94,28
Piedra,6,0.3,28.3
Madera,"           1,275",63.31,91.61
"Caña, palma, tronco",152,7.55,99.16
Otro,17,0.84,100
Total,"           2,014",100,100
NSA :,169,,
AREA # 021601,Charazani,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",107,3.01,3.01
"Adobe, tapial","           3,024",85.02,88.02
"Tabique,quinche",6,0.17,88.19
Piedra,188,5.29,93.48
Madera,196,5.51,98.99
"Caña, palma, tronco",7,0.2,99.18
Otro,29,0.82,100
Total,"           3,557",100,100
NSA :,339,,
AREA # 021602,Curva,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",8,0.81,0.81
"Adobe, tapial",702,71.12,71.94
"Tabique,quinche",2,0.2,72.14
Piedra,261,26.44,98.58
Madera,9,0.91,99.49
"Caña, palma, tronco",1,0.1,99.59
Otro,4,0.41,100
Total,987,100,100
NSA :,103,,
AREA # 021701,Copacabana,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           1,109",21.43,21.43
"Adobe, tapial","           3,993",77.16,98.59
"Tabique,quinche",6,0.12,98.71
Piedra,53,1.02,99.73
Madera,5,0.1,99.83
Otro,9,0.17,100
Total,"           5,175",100,100
NSA :,"           1,157",,
AREA # 021702,San Pedro de Tiquina,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",296,12.17,12.17
"Adobe, tapial","           2,119",87.09,99.26
"Tabique,quinche",3,0.12,99.38
Piedra,10,0.41,99.79
Madera,1,0.04,99.84
Otro,4,0.16,100
Total,"           2,433",100,100
NSA :,456,,
AREA # 021703,Tito Yupanqui,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",163,12.6,12.6
"Adobe, tapial","           1,111",85.86,98.45
Piedra,17,1.31,99.77
Otro,3,0.23,100
Total,"           1,294",100,100
NSA :,16,,
AREA # 021801,San Pedro Cuarahuara,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",95,3.38,3.38
"Adobe, tapial","           2,707",96.2,99.57
"Tabique,quinche",6,0.21,99.79
Piedra,3,0.11,99.89
Madera,2,0.07,99.96
Otro,1,0.04,100
Total,"           2,814",100,100
NSA :,732,,
AREA # 021802,Papel Pampa,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",123,5.05,5.05
"Adobe, tapial","           2,280",93.63,98.69
"Tabique,quinche",4,0.16,98.85
Otro,28,1.15,100
Total,"           2,435",100,100
NSA :,773,,
AREA # 021803,Chacarilla,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",35,4.56,4.56
"Adobe, tapial",729,95.05,99.61
"Tabique,quinche",2,0.26,99.87
Otro,1,0.13,100
Total,767,100,100
NSA :,102,,
AREA # 021901,Santiago de Machaca,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",44,2.45,2.45
"Adobe, tapial","           1,710",95.21,97.66
"Tabique,quinche",3,0.17,97.83
Piedra,30,1.67,99.5
Madera,1,0.06,99.55
Otro,8,0.45,100
Total,"           1,796",100,100
NSA :,917,,
AREA # 021902,Catacora,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",6,0.81,0.81
"Adobe, tapial",702,95.12,95.93
"Tabique,quinche",5,0.68,96.61
Piedra,25,3.39,100
Total,738,100,100
NSA :,49,,
AREA # 022001,Caranavi,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           3,859",23.22,23.22
"Adobe, tapial","           7,945",47.81,71.04
"Tabique,quinche",24,0.14,71.18
Piedra,72,0.43,71.61
Madera,"           3,885",23.38,94.99
"Caña, palma, tronco",636,3.83,98.82
Otro,196,1.18,100
Total,"          16,617",100,100
NSA :,679,,
AREA # 022002,Alto Beni,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",556,13.46,13.46
"Adobe, tapial",445,10.77,24.24
"Tabique,quinche",1,0.02,24.26
Piedra,21,0.51,24.77
Madera,"           2,388",57.82,82.59
"Caña, palma, tronco",584,14.14,96.73
Otro,135,3.27,100
Total,"           4,130",100,100
NSA :,152,,
AREA # 030101,Cochabamba,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","         142,827",80.68,80.68
"Adobe, tapial","          31,243",17.65,98.32
"Tabique,quinche",139,0.08,98.4
Piedra,"           1,063",0.6,99
Madera,246,0.14,99.14
"Caña, palma, tronco",56,0.03,99.17
Otro,"           1,463",0.83,100
Total,"         177,037",100,100
NSA :,"          18,427",,
AREA # 030201,Aiquile,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           1,772",27.22,27.22
"Adobe, tapial","           4,460",68.52,95.74
"Tabique,quinche",22,0.34,96.08
Piedra,214,3.29,99.37
Madera,13,0.2,99.57
"Caña, palma, tronco",14,0.22,99.78
Otro,14,0.22,100
Total,"           6,509",100,100
NSA :,"           1,934",,
AREA # 030202,Pasorapa,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",74,4.96,4.96
"Adobe, tapial","           1,362",91.23,96.18
"Tabique,quinche",4,0.27,96.45
Piedra,21,1.41,97.86
Madera,6,0.4,98.26
"Caña, palma, tronco",7,0.47,98.73
Otro,19,1.27,100
Total,"           1,493",100,100
NSA :,217,,
AREA # 030203,Omereque,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",368,24.81,24.81
"Adobe, tapial","           1,103",74.38,99.19
"Tabique,quinche",2,0.13,99.33
Piedra,4,0.27,99.6
Madera,2,0.13,99.73
"Caña, palma, tronco",2,0.13,99.87
Otro,2,0.13,100
Total,"           1,483",100,100
NSA :,451,,
AREA # 030301,Independencia,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",319,4.36,4.36
"Adobe, tapial","           6,769",92.45,96.8
"Tabique,quinche",33,0.45,97.25
Piedra,63,0.86,98.12
Madera,20,0.27,98.39
"Caña, palma, tronco",19,0.26,98.65
Otro,99,1.35,100
Total,"           7,322",100,100
NSA :,"           2,441",,
AREA # 030302,Morochata,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",187,4.59,4.59
"Adobe, tapial","           3,709",91.09,95.68
"Tabique,quinche",8,0.2,95.87
Piedra,153,3.76,99.63
Madera,2,0.05,99.68
"Caña, palma, tronco",5,0.12,99.8
Otro,8,0.2,100
Total,"           4,072",100,100
NSA :,837,,
AREA # 030303,Cocapata,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",119,2.48,2.48
"Adobe, tapial","           3,558",74.06,76.54
"Tabique,quinche",21,0.44,76.98
Piedra,339,7.06,84.03
Madera,346,7.2,91.24
"Caña, palma, tronco",384,7.99,99.23
Otro,37,0.77,100
Total,"           4,804",100,100
NSA :,742,,
AREA # 030401,Tarata,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",748,28.8,28.8
"Adobe, tapial","           1,800",69.31,98.11
"Tabique,quinche",2,0.08,98.19
Piedra,30,1.16,99.35
Madera,3,0.12,99.46
"Caña, palma, tronco",2,0.08,99.54
Otro,12,0.46,100
Total,"           2,597",100,100
NSA :,607,,
AREA # 030402,Anzaldo,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",433,16.48,16.48
"Adobe, tapial","           2,097",79.82,96.31
"Tabique,quinche",8,0.3,96.61
Piedra,86,3.27,99.89
Otro,3,0.11,100
Total,"           2,627",100,100
NSA :,993,,
AREA # 030403,Arbieto,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           3,226",58.57,58.57
"Adobe, tapial","           2,004",36.38,94.95
"Tabique,quinche",6,0.11,95.06
Piedra,35,0.64,95.7
Madera,10,0.18,95.88
"Caña, palma, tronco",47,0.85,96.73
Otro,180,3.27,100
Total,"           5,508",100,100
NSA :,"           1,252",,
AREA # 030404,Sacabamba,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",79,5.38,5.38
"Adobe, tapial","           1,346",91.63,97
Piedra,40,2.72,99.73
"Caña, palma, tronco",1,0.07,99.8
Otro,3,0.2,100
Total,"           1,469",100,100
NSA :,524,,
AREA # 030501,Arani,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",596,18.93,18.93
"Adobe, tapial","           2,446",77.68,96.6
"Tabique,quinche",10,0.32,96.92
Piedra,56,1.78,98.7
Madera,1,0.03,98.73
Otro,40,1.27,100
Total,"           3,149",100,100
NSA :,"           1,288",,
AREA # 030502,Vacas,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",94,2.93,2.93
"Adobe, tapial","           2,947",91.95,94.88
"Tabique,quinche",10,0.31,95.2
Piedra,132,4.12,99.31
Madera,4,0.12,99.44
"Caña, palma, tronco",15,0.47,99.91
Otro,3,0.09,100
Total,"           3,205",100,100
NSA :,"           1,664",,
AREA # 030601,Arque,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",93,2.83,2.83
"Adobe, tapial","           3,072",93.57,96.41
"Tabique,quinche",8,0.24,96.65
Piedra,106,3.23,99.88
Madera,2,0.06,99.94
"Caña, palma, tronco",1,0.03,99.97
Otro,1,0.03,100
Total,"           3,283",100,100
NSA :,"           1,017",,
AREA # 030602,Tacopaya,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",72,2.19,2.19
"Adobe, tapial","           3,168",96.26,98.45
"Tabique,quinche",19,0.58,99.03
Piedra,31,0.94,99.97
Otro,1,0.03,100
Total,"           3,291",100,100
NSA :,481,,
AREA # 030701,Capinota,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           2,376",40.26,40.26
"Adobe, tapial","           3,309",56.07,96.32
"Tabique,quinche",9,0.15,96.48
Piedra,118,2,98.48
Madera,10,0.17,98.64
"Caña, palma, tronco",56,0.95,99.59
Otro,24,0.41,100
Total,"           5,902",100,100
NSA :,898,,
AREA # 030702,Santivañez,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",702,29.13,29.13
"Adobe, tapial","           1,617",67.1,96.22
"Tabique,quinche",6,0.25,96.47
Piedra,19,0.79,97.26
Madera,4,0.17,97.43
"Caña, palma, tronco",17,0.71,98.13
Otro,45,1.87,100
Total,"           2,410",100,100
NSA :,402,,
AREA # 030703,Sicaya,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",124,11.43,11.43
"Adobe, tapial",925,85.25,96.68
"Tabique,quinche",1,0.09,96.77
Piedra,16,1.47,98.25
"Caña, palma, tronco",12,1.11,99.35
Otro,7,0.65,100
Total,"           1,085",100,100
NSA :,150,,
AREA # 030801,Cliza,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           3,483",59.24,59.24
"Adobe, tapial","           2,328",39.6,98.84
"Tabique,quinche",6,0.1,98.95
Piedra,5,0.09,99.03
Madera,18,0.31,99.34
"Caña, palma, tronco",15,0.26,99.59
Otro,24,0.41,100
Total,"           5,879",100,100
NSA :,"           1,086",,
AREA # 030802,Toco,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",444,21.55,21.55
"Adobe, tapial","           1,581",76.75,98.3
Piedra,23,1.12,99.42
Madera,2,0.1,99.51
"Caña, palma, tronco",6,0.29,99.81
Otro,4,0.19,100
Total,"           2,060",100,100
NSA :,192,,
AREA # 030803,Tolata,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",959,65.15,65.15
"Adobe, tapial",506,34.38,99.52
Piedra,1,0.07,99.59
Madera,2,0.14,99.73
Otro,4,0.27,100
Total,"           1,472",100,100
NSA :,368,,
AREA # 030901,Quillacollo,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","          27,763",77.22,77.22
"Adobe, tapial","           7,716",21.46,98.69
"Tabique,quinche",22,0.06,98.75
Piedra,225,0.63,99.37
Madera,44,0.12,99.5
"Caña, palma, tronco",15,0.04,99.54
Otro,166,0.46,100
Total,"          35,951",100,100
NSA :,"           3,190",,
AREA # 030902,Sipesipe,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           6,822",58.73,58.73
"Adobe, tapial","           4,498",38.73,97.46
"Tabique,quinche",22,0.19,97.65
Piedra,179,1.54,99.19
Madera,21,0.18,99.37
"Caña, palma, tronco",19,0.16,99.54
Otro,54,0.46,100
Total,"          11,615",100,100
NSA :,"           2,002",,
AREA # 030903,Tiquipaya,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón","           9,082",65.74,65.74
"Adobe, tapial","           4,072",29.48,95.22
"Tabique,quinche",15,0.11,95.33
Piedra,240,1.74,97.07
