AREA # 010101,Sucre,,
Piedra,3,0.15,95.7
Madera,55,2.66,98.36
"Caña, palma, tronco",15,0.73,99.08
Otro,19,0.92,100
Total,"           2,068",100,100
NSA :,459,,
AREA # 010601,Tarabuco,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",352,8.16,8.16
"Adobe, tapial","           3,835",88.94,97.1
"Tabique,quinche",19,0.44,97.54
Piedra,91,2.11,99.65
Madera,2,0.05,99.7
"Caña, palma, tronco",4,0.09,99.79
Otro,9,0.21,100
Total,"           4,312",100,100
NSA :,"           1,155",,
AREA # 010602,Yamparaez,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",440,14.82,14.82
"Adobe, tapial","           2,367",79.72,94.54
"Tabique,quinche",59,1.99,96.53
Piedra,98,3.3,99.83
"Caña, palma, tronco",1,0.03,99.87
Otro,4,0.13,100
Total,"           2,969",100,100
NSA :,733,,
AREA # 010701,Camargo,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",917,21.33,21.33
"Adobe, tapial","           2,994",69.63,90.95
"Tabique,quinche",49,1.14,92.09
Piedra,314,7.3,99.4
Madera,5,0.12,99.51
"Caña, palma, tronco",10,0.23,99.74
Otro,11,0.26,100
Total,"           4,300",100,100
NSA :,"           1,233",,
AREA # 010702,San Lucas,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",268,3.39,3.39
"Adobe, tapial","           6,436",81.53,84.93
"Tabique,quinche",63,0.8,85.72
Piedra,"           1,074",13.61,99.33
Madera,26,0.33,99.66
"Caña, palma, tronco",16,0.2,99.86
Otro,11,0.14,100
Total,"           7,894",100,100
NSA :,"           3,026",,
AREA # 010703,Incahuasi,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",182,5.89,5.89
"Adobe, tapial","           2,511",81.24,87.12
"Tabique,quinche",25,0.81,87.93
Piedra,234,7.57,95.5
Madera,95,3.07,98.58
"Caña, palma, tronco",34,1.1,99.68
Otro,10,0.32,100
Total,"           3,091",100,100
NSA :,459,,
AREA # 010704,Villa Charcas,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",135,4.3,4.3
"Adobe, tapial","           2,715",86.46,90.76
"Tabique,quinche",5,0.16,90.92
Piedra,272,8.66,99.59
Madera,1,0.03,99.62
"Caña, palma, tronco",8,0.25,99.87
Otro,4,0.13,100
Total,"           3,140",100,100
NSA :,466,,
AREA # 010801,Villa Serrano,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",368,11.47,11.47
"Adobe, tapial","           2,774",86.44,97.91
"Tabique,quinche",13,0.41,98.32
Piedra,36,1.12,99.44
Madera,9,0.28,99.72
"Caña, palma, tronco",6,0.19,99.91
Otro,3,0.09,100
Total,"           3,209",100,100
NSA :,"           1,359",,
AREA # 010901,Villa Abecia,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",185,19.17,19.17
"Adobe, tapial",610,63.21,82.38
"Tabique,quinche",2,0.21,82.59
Piedra,159,16.48,99.07
Madera,1,0.1,99.17
"Caña, palma, tronco",5,0.52,99.69
Otro,3,0.31,100
Total,965,100,100
NSA :,544,,
AREA # 010902,Culpina,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",178,4.08,4.08
"Adobe, tapial","           3,311",75.92,80
"Tabique,quinche",44,1.01,81.01
Piedra,705,16.17,97.18
Madera,95,2.18,99.36
"Caña, palma, tronco",16,0.37,99.72
Otro,12,0.28,100
Total,"           4,361",100,100
NSA :,881,,
AREA # 010903,Las Carreras,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",63,6,6
"Adobe, tapial",903,86,92
"Tabique,quinche",2,0.19,92.19
Piedra,68,6.48,98.67
Madera,3,0.29,98.95
"Caña, palma, tronco",4,0.38,99.33
Otro,7,0.67,100
Total,"           1,050",100,100
NSA :,272,,
AREA # 011001,Muyupampa,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",642,25.45,25.45
"Adobe, tapial","           1,479",58.62,84.07
"Tabique,quinche",281,11.14,95.2
Piedra,4,0.16,95.36
Madera,67,2.66,98.02
"Caña, palma, tronco",39,1.55,99.56
Otro,11,0.44,100
Total,"           2,523",100,100
NSA :,410,,
AREA # 011002,Huacaya,,
Material de construcción más utilizado en las Paredes Exteriores,Casos,%,Acumulado %
"Ladrillo, bloque de cemento, hormigón",12,2.05,2.05
"Adobe, tapial",435,74.36,76.41
"Tabique,quinche",125,21.37,97.78
Madera,3,0.51,98.29
"Caña, palma, tronco",5,0.85,99.15
Otro,5,0.85,100
Total,585,100,100
NSA :,89,,
